카테고리,API 경로,메서드,설명,요청 데이터(Param/Body),응답 데이터
사용자,/api/v1/users/signup,POST,일반 회원가입 처리,SignUpRequest,Success Message
사용자,/api/v1/users/login,POST,인증 및 JWT 토큰 발급,OAuth2PasswordRequestForm,LoginResponse
사용자,/api/v1/users/token/refresh,GET,액세스 토큰 갱신,refresh_token(Cookie),TokenRefreshResponse
사용자,/api/v1/users/id-check,GET,아이디 중복 여부 확인,id(Query),Detail Message
사용자,/api/v1/users/find-id,GET,성명/연락처로 아이디 찾기,name / phone_number(Query),Found ID
사용자,/api/v1/users/reset-password,POST,비밀번호 재설정 처리,ResetPasswordRequest,Success Message
사용자,/api/v1/users/me,GET,로그인 사용자 정보 조회,Bearer Token,UserResponse
사용자,/api/v1/users/me,PUT,사용자 프로필 수정,UserUpdateRequest,UserResponse
사용자,/api/v1/users/me/password,PATCH,로그인 상태에서 비밀번호 변경,ChangePasswordRequest,Success Message
사용자,/api/v1/users/me,DELETE,회원 탈퇴 처리,WithdrawRequest,Success Message
사용자,/api/v1/users/logout,POST,로그아웃 및 세션 종료,Bearer Token,Success Message
사용자,/api/v1/users/auth/naver,GET,네이버 소셜 로그인 시도,-,Redirect
사용자,/api/v1/users/auth/naver/callback,GET,네이버 인증 콜백 처리,code / state(Query),LoginResponse
사용자,/api/v1/users/auth/kakao,GET,카카오 소셜 로그인 시도,-,Redirect
사용자,/api/v1/users/auth/kakao/callback,GET,카카오 인증 콜백 처리,code(Query),LoginResponse
챗봇,/api/v1/chat/message,POST,단일 챗봇(LLM) 응답 생성,ChatRequest,ChatResponse
챗봇,/api/v1/chat/stream,POST,실시간 스트리밍 대화(SSE),ChatRequest,Stream JSON
챗봇,/api/v1/chat/sessions,GET,사용자의 대화 세션 목록 조회,-,List[ChatSession]
챗봇,/api/v1/chat/history,GET,특정 세션의 대화 이력 조회,session_id(Query),List[ChatMessage]
건강 가이드,/api/v1/guide/generate,POST,맞춤형 건강 가이드 자동 생성,GuideRequest,GuideResponse
건강 가이드,/api/v1/guide/history,GET,과거 생성 가이드 목록 조회,-,List[GuideHistory]
건강 가이드,/api/v1/guide/{guide_id},GET,가이드 상세 내용 조회,guide_id(Path),GuideResponse
AI 분석,/api/v1/ai/analyze-ocr,POST,처방전 텍스트 추출 및 정규화,file(UploadFile),OCRExtractResponse
AI 분석,/api/v1/ai/analyze-pill,POST,알약 이미지 기반 식별 분석,file(UploadFile),PillAnalyzeResponse
AI 분석,/api/v1/ai/prescriptions,GET,사용자 처방전 분석 결과 목록,-,List[PrescriptionHistory]
AI 분석,/api/v1/ai/pill-recognitions,GET,사용자 알약 인식 내역 목록,-,List[PillRecognitionHistory]
AI 분석,/api/v1/ai/verify,POST,OCR 결과 최종 검증 및 저장,OCRVerifyRequest,Success Message
알림,/api/v1/notifications/schedule,POST,복약 알림 시간 및 내용 설정,AlarmCreateRequest,AlarmResponse
알림,/api/v1/notifications/list,GET,등록된 복약 알람 목록 조회,-,List[AlarmResponse]
알림,/api/v1/notifications/{alarm_id}/toggle,PATCH,알람 활성화 상테 변경,alarm_id(Path),AlarmResponse
알림,/api/v1/notifications/{alarm_id},DELETE,복약 알람 삭제 처리,alarm_id(Path),Success Message
알림,/api/v1/notifications/confirm,POST,실제 복약 여부 확인 기록,MedicationConfirmRequest,Success Message
시스템,/api/v1/system/logs,GET,전체 시스템 응답 및 호출 로그,-,List[LogResponse]
시스템,/api/v1/system/logs/slow,GET,5초 이상 소요된 느린 응답 로그,-,List[LogResponse]
시스템,/api/v1/system/logs/errors,GET,시스템 발생 에러 로그,-,List[LogResponse]
시스템,/api/v1/system/logs/user,GET,사용자 주요 행동 분석 로그,-,Detail Message
이메일,/api/v1/email/send-code,POST,이메일 본인인증 번호 발송,EmailRequest,Success Message
이메일,/api/v1/email/verify-code,POST,인증 번호 일치 여부 검증,EmailCodeRequest,Success Message
미디어,/api/v1/media/convert_tts,POST,가이드 텍스트 음성 변환,ConvertTTSRequest,ConvertTTSResponse
미디어,/api/v1/media/convert_cardnews,POST,가이드 텍스트 카드뉴스 변환,ConvertCardnewsRequest,ConvertCardnewsResponse
